quote,name,date
"As I said on my blog: Digital Humanities is the discipline born from the intersection between humanities scholarship and computational technologies. It aims at investigating how digital methodologies can be used to enhance research in disciplines such a History, Literature, Languages, Art History, Music, Cultural Studies and many others. Digital Humanities holds a very strong practical component as it includes the concrete creation of digital resources for the study of specific disciplines.","Elena Pierazzo","2012-01-01"
"Digital Humanities mean, to me, more now than it did back in 2009 when I first did the Day of DH. DH offers a set of tools to pose humanistic inquiry, but it doesn't necessarily offer definitive answers to those questions. Instead it celebrates and records a process of intellectual pursuit that is then distributed and disseminated to the Humanities community and abroad. Engaging in Digital Humanities is also an ethos: collaboration, building knowledge, sharing projects, screwing around. I apply this to my scholarship as well as my teaching. If my work is better, more complex, because of Digital Humanities, so too will my students' work benefit from the tools, state of mind, and ethos.","Katherine D. Harris","2012-01-01"
"The practice of combining emerging digital tools and traditional humanistic study to create new, interactive, integrative, and public ways of disseminating research and discovery.","Lee Skallerup Bessette","2012-01-01"
"As the studying and building of digital research tools for humanities scholarship. For me, this entails trying to offer informed guidance to the historians who want to use digital research tools (but can't build them) and the developers who can build these digital research tools (but won't be using them).","James Baker","2012-01-01"
"DH allows, maybe even forces, me to think differently about teaching. It's a community of learners and thinkers who look at tools as ways to make new tools and knowledge.","Ian Thomas","2012-01-01"
"Digital Humanities is the critical study of how the technologies and techniques associated with the digital medium intersect with and alter humanities scholarship and scholarly communication.","Julia Flanders","2012-01-01"
"Oftener and oftener as one's self-identification with a perceived inflection of study and regard for the world that involves humanities scholarship in digital environments.","Tanya Clement","2012-01-01"
"This is my first time participating in the event. I think of digital humanities as the intersection of computing and the arts.","Christian Price","2012-01-01"
"Digital Humanities are the first step towards Future Humanities.","Davor","2012-01-01"
"I view the Digital Humanities as a constantly changing field, which escapes easy definition - this is has benefits but also presents challenges! Standard definitions talk about the application of information technology to humanities teaching and research - whether that be to develop better ways of doing things or to create new questions and paradigms - but I think that the field also has a key role in articulating how technology is changing scholarship.","Paul Spence","2012-01-01"
"Digital Humanities is the combination of using digital techniques to better understand and present our understanding of the Humanities. It is about the dissemination of our work, the sharing of knowledge and collaborating to give the best possible chance to a project. Digital Humanities is about the Community, about learning, constantly evolving and being open to new ways of thinking about old questions. It is not, as a friend asked, about building digital humans.","Natasha Martin","2012-01-01"
"I would define Digital Humanities as a term used to identify persons, practices, ideologies, etc., that conform to institutional and scholarly values as determined by individual and institutional norms. But I would distinguish the definition of DH from doing digital humanities work (theoretical, practical, critical), which means something much more. Doing digital humanities means challenging the institutionalization of humanistic inquiry; in fact, it means responding to the crippling institutionalization of emotive responses to humanistic practices within the public sphere of all “knowledge workers.” To do this means that we must build tools, technologies, methodologies, and theories that represent this disruptive force, but we must also put what we build into practice. It is not longer enough to present (or represent) an idea, a tool; we must do the work of the community and we must engage the community in developing the ways in which we make our (our as in humanity) work accessible (this means disability studies needs to become a stronger focus of our scholarship and our practices). We must, as Alan Liu argued practice being the service community that we have always wanted to become.","Shawn W. Moore","2012-01-01"
"I think I said last year that I dislike that question, and that remains the case. Its boundaries are continually shifting and elude satisfactory definition. Even something as simple as 'Using computers for teaching and research in the Humanities' can have caveats. I recognise why a definition of DH might be desirable, but still: I dislike the question.","Justin Tonra","2012-01-01"
"Qualitative queries, quantified.","Michael Ullyot","2012-01-01"
"The connections made between humans, text, and images that cannot be made in a strictly analog network.","Matthew Butler","2012-01-01"
"The use of digital tools, media and corpora in the humanities, thus changing both the objects and practices in the Humanities.","Lebarbé Thomas","2012-01-01"
"The undertaking of humanities using digital tools and techniques. (But I've read much better answers previous years.)","James Cummings","2012-01-01"
"sudo riverrun past eve","Aurélien Berra","2012-01-01"
"When quantification meets representation.","Ben Miller","2012-01-01"
"The place where technology meets traditional study.","Sharon Taylor","2012-01-01"
"In DH, scholars either try to solve to old problems with new means, in an verifiable way by applying algorithms to given data, or they try to find new questions that couldn't have been asked before with traditional means, e.g. checking a theory against huge amounts of data. DH also implies new presentation of data, methods, and results.","Torsten Schaßan","2012-01-01"
"Digital Humanities captures the passion for the traditional craft and emboldens it to ask new questions of old data in exciting, compelling and innovative ways.","Shawn Day","2012-01-01"
"Researching the Humanities through digital perspectives, researching digital technologies from the perspective of the Humanities","Francesca Benatti","2012-01-01"
"Digital Humanities is to me the use and abuse of technology to potential improve research within the field of humanities. It stretches from a simple blog, to complex corpus tools, to whatever the next person can think of.","Chris Martin","2012-01-01"
"Digital Humanities is a young field within the Humanities and Technologies, yet not clearly defined. The Digital Humanities take advantage of applying mathematical methods for the analysis of cultural phenomena.","Markus Schnoepf","2012-01-01"
"For me, digital humanities is thinking through making, as well as writing. More specifically, it’s currently about thinking critically about the impact of digitality on scholarly practice in addition to applying digital techniques to the concerns of the humanities.","Mia","2012-01-01"
"Humanities or liberal arts which cannot be formed without computers. I use 'Jimbun Jouhougaku 人文情報学' in Japanese (literal translation: Humanities Informatics) as a Humanities-like discipline based on the methodology of Informatics, which can be formed without computers.","Shigeki Moro","2012-01-01"
"It is simple. Human use digital signal, namely syllables, more precisely logical syllables for communication. This is the only difference between human and non-human animals, who communicate by exchanging analog or physical signals modulated by their emotion.","Kumon Kimiaki TOKUMARU","2012-01-01"
"A community of practice involving anyone who engages with humanities subject areas through critical, reflexive and collaborative development and use of digital technologies.","Kathryn E. Piquette","2012-01-01"
"As a social construct.","louburnard","2012-01-01"
"Digital Humanities is more than a methodology.","James O'Sullivan","2012-01-01"
"The use of digital methods, tools, resources,and/or models to research, study, and/or mediate what it means to be human. If it must be measured, I prefer to do so by degrees rather than by delineations.","Lisa Rhody","2012-01-01"
"Digital Humanities is a field overseeing the work that needs to be done using digital media in order to preserve and interpret the human record.","Laura Mandell","2012-01-01"
"A broad array of practices that seek to understand if/how digital technologies allow us to ask new questions of or think in new ways about our objects of study.","Jacqueline Wernimont","2012-01-01"
"Digital Humanities, as a discipline, is a subset of the Humanities. It implies that one engages with digital media--whether they are tools or topics of enquiry--while doing Humanities work.","Kirstyn Leuner","2012-01-01"
"'Digital humanities' is a gathering term for scholars who embrace technology as a means to explore humanities material as data.","Robin Davis","2012-01-01"
"What it really comes down to is what are people doing to contribute to an understanding of the digital age or what are they doing to expand the practices and work of humanities fields using current technology. A person is not a Digital Humanist by mistake. They are not a Digital Humanist simply because they use a computer to do their work nor are they a Digital Humanist simply by virtue of working in a humanities field and being able to program. What is the methodological framework for their work? For example, using JuXta for collation on a new edition of a novel for the sake of efficiency does not make that edition a DH project, but writing about how the use of JuXta changes the way that we create scholarly editions of literature would fall into the DH field. Essentially, whether or not a person is trying to engage with DH, whether in theory or in practice, determines whether or not they are a Digital Humanist.","tesshab","2012-01-01"
"It's the sum of a lot of separate activities involving doing humanities research and using computers at more or less the same time, and with at least an intermittent element of methodological reflection.","John Lavagnino","2012-01-01"
"I think of digital humanities as an umbrella term that covers a wide variety of digital work in the humanities: development of multimedia pedagogies and scholarship, designing & building tools, human computer interaction, designing & building archives, etc. DH is interdisciplinary; by necessity it breaks down boundaries between disciplines at the local (e.g., English and history) and global (e.g., humanities and computer sciences) levels.","Kathie Gossett","2012-01-01"
"Through the things I make","Trevor Muñoz","2012-01-01"
"The study of the effects of enabling computational technologies upon the social organisational of civilisation.","Jonathon Hutchinson","2012-01-01"
"Taking people to bits.","Graeme Earl","2012-01-01"
"Intersectional activities between the humanities and informatics commonly convergent on ever evolving computational technologies","Masahiro Shimoda","2012-01-01"
"Building and/or using advanced digital technologies and methodologies to conduct research in the humanities","Erin Snyder","2012-01-01"
"Digital humanities is a scholarly enterprise which encompasses a field of study, a set of tools, a methodological approach, and a global community, among other things. Digital humanists examine the objects of humanistic study – literature, history, art, language and so forth – using digital tools to carry out the kind of analysis that would be very difficult or impossible to do without the use of technology. Where the value of digital humanities lies, however, is not in the powerful capabilities of the digital tools themselves – as impressive as these may be – but rather in the way that the analyses and visualizations produced by the technology are combined with the skills of critical interpretation, nuanced close analysis, and attentiveness to ambiguity which are born out of a deep grounding in so-called conventional humanities study.","Anouk Lang","2012-01-01"
"I guess I define DH as twofold : Using technology to do Humanities Research and doing Humanities research about Technology. Plus a commitment to the openness of knowledge. Plus a commitment to build new scholarly objects.","Enrico Natale","2012-01-01"
"Making use of the Information Technologies for Humanities research.","Georg Vogeler","2012-01-01"
"The ineffably sublime.","Stéfan Sinclair","2012-01-01"
"DH is multiple. DH is part humanities computing which designs, develops, and/or utilizes computing technologies for research and analysis. DH is also a community interested in collaborative projects and sharing knowledge across disciplines. Still, DH goes beyond the instrumentality of technologies, by critically engaging with questions of knowledge formation, dissemination, and preservation.","Joan Shaffer","2012-01-01"
"By press.","Lasse Jalonen","2012-01-01"
"The development, exploration, and evaluation of computer-based technologies and resources for enabling the pursuit of research questions in the humanities.","Susan Brown","2012-01-01"
"I have come to think about the digital humanities as an umbrella term for a few different things. These include the development of tools and software for research, teaching, and scholarship. In this case every part of the development process and use of these tools is potentially DH scholarship. I would also include the use of any digital tools and software for interpretation and analysis on humanities research questions. Beyond this I would include any work that involves challenging the traditional roles of scholarship and scholarly communication. For example, using blogs to communicate with broader audiences. Lastly, I would suggest that new media studies, that is studies of born digital objects is inherently a subset of work in the digital humanities. In short, any situation in which the idea of the digital touches or engages with work in the humanities.","Trevor Owens","2012-01-01"
"Humanities","Martin Holmes","2012-01-01"
"I define Digital Humanities as that which lies on the continuum that began in orality, and moved through literate or print-based humanities, resulting in contemporary humanistic endeavors. In other words, I don't see it as a break with all that has come before. That said, however, epistemological shifts characterize the digital humanities, distinguishing them from earlier iterations.","Virginia Kuhn","2012-01-01"
"It's what 'we' do.","Simon Mahony","2012-01-01"
"The process of acknowledging, interpreting and engaging with the digital in relation to humanities sources and approaches.","Claire Lynch","2012-01-01"
"A willingness to engage in new modes of exploring humanities problems using interdisciplinary approaches that may go beyond the comfort level of traditional scholars in your core discipline but that seek truth and understanding with all the rigours of academic research.","Adam Crymble","2012-01-01"
"In the last 10 years I would have said something along these lines: As an experienced manager and ICT consultant my approach towards DH is practical. For me DH is about interconnecting researchers (and their collections), software developers and infrastructure providers. As a researcher my aim is different. Then DH is about bringing central questions about the nature of the humanities to light. But now I believe Digital Humanities is coming of age. And in my opinion Digital Humanities has become an intrinsic part of the Humanities. Therefore Digital Humanities is the same as the Humanities.","Douwe Zeldenrust","2012-01-01"
"To my mind, Digital Humanities is a two-pronged discipline: 1. Digital Humanists study the ways in which new technologies and new media impact on traditional humanities disciplines, on human interaction, society, and communication. 2. Digital Humanists develop tools and resources for humanities students and scholars to further studies in the humanities and the social sciences, but also to allow for new research questions as new data and tools to examine this data become available.","Christine McWebb","2012-01-01"
"A fluid term to describe a variety of practices applying and theorizing the intersection of technology and humanities questions.","Amy Earhart","2012-01-01"
"DHers want to find the parameters of meaning that building (and failing) can disclose.","Kathi Inman Berens","2012-01-01"
"The Digital Humanities is an inclusive, open community, whose participants include students, researchers, teachers, and other people interested in participating in discussions of issues related to the learning, teaching, social, political, technical, economic implications of the Web. DH is building, collaborating, learning, sharing.","Elizabeth Cornell","2012-01-01"
"'Digital Humanities' is a term describing fields of study and endeavor where the innovative use of new technologies are foregrounded to facilitate the evolution and expansion of 'traditional' humanities knowledge and activities.","Michael J. Maguire","2012-01-01"
"I find this question very hard, as I am just now trying to find out what Digital Humanities is -- this is my first time participating in the event --, and as I have the feeling there is not a unique and complete definition for it. But Digital Humanities has definetly something to do with engaging humanities through use of digital techologies.","Kollontai","2012-01-01"
"The Digital now threads through every aspect of the Humanities.","James G.R. Cronin","2012-01-01"
"As a PhD student working in Archaeological Computing, researching the impact of technology on the Cultural Heritage sector, but based within the Electronics and Computer Science department of my university, I see the Digital Humanities as a useful definition of the place of my research within an academic context. I see the Digital Humanities also as a support network for academics and professionals with a digital component to their work.","Nicole Beale","2012-01-01"
"Digital Humanities is a pedagogical and scholarly approach that is both complemented by,'and can exist separately from,'appropriate technological tools. Tools can help scholars and practitioners consider both broad swaths of creative endeavor,'whether textual, visual, acoustic, or otherwise immersive,'and layers of nested and interconnected meanings to develop new ways to engage with an emerging ecology of knowledge.","Pavel Cenkl","2012-01-01"
"The application of digital technology to humanities research and teaching.","Dot Porter","2012-01-01"
"Each year that I've been asked this question, it's become harder and harder to answer. My current answer, I think, is that Digital Humanities IS the humanities as it is practiced, modeled, and theorized today.","Lauren Klein","2012-01-01"
"What sits at the intersection of computational method and the traditional pursuits of the humanities.","Ray Siemens","2012-01-01"
"Cross-disciplinary projects coined by a new generation of humanists as model users, who are asking and creating novel applications and solutions from and with more geeky and technical disciplines, with excellent innovative outcomes, connecting contemporary and fashionable technology with scientific research.","Mona Hess","2012-01-01"
"The phrase seems to say it for itself,'something related to the humanities going digital. That means anything within the realm of the humanities,'language, history, philosophy, literature, and the arts,'is fair game. In its most basic form, it is still transferring such topics into a digital medium, but more so for the purpose of uncovering or gaining some new information or perspective on the subject being presented. It could come in the form of visually condensing text in order to both give a general idea of the contents and to provide a quicker delivery of knowledge, or by laying out information in some other visual manner so that patterns can be used to quickly pick up on details that provide certain insight into the subject matter.","Iris","2012-01-01"
"DH is what critical theory is or was--an opportunity to ask new questions, try new methods, engage in new conversations.","ssenier","2012-01-01"
"The practice of undertaking digitally informed research and teaching in fields covered by the traditional humanities disciplines.","Kerry Kilner","2012-01-01"
"The convergence between Humanities (human and social sciences) and Digital Technologies, either as new methodological and epistemological approaches or as the object of investigations of social, cultural and political concerns.","Henrique Parra","2012-01-01"
"With some reluctance, as many have said! Well, it's both a field and a suite of methods.","Michael Cade-Stewart","2012-01-01"
"A five ring circus consisting of tech in the classroom, digital preservation, scholarly communications, new media and computational methods.","Alex Gil","2012-01-01"
"The pursuit of knowledge and inquiry in a cluster of subject areas (literatures, languages, linguistics, history, classics, anthropology, archaeology) with the use of some digital method.","Elizabeth (Lisa) McAulay","2012-01-01"
"Application of digital tools to humanities research and pedagogy","Diane Jakacki","2012-01-01"
"DH is the application and the use of computing tecnologies for the research, teaching and investigation in the disciplines of the humanities.","Alí Albarrán","2012-01-01"
"Practice of digital creation (design, editorial practice, architecture), and/or digital analysis (e.g. text analysis or distant reading) and/or analysis and critique of digital texts (e.g, games or social media or theorizing structures such as databases or semantic markup)","Allison Muri","2012-01-01"
"Any use of digital technologies that significantly informs research, presentation, or process of humanities based fields and the study thereof.","John Simpson","2012-01-01"
"Not sure!","Lorna Richardson","2012-01-01"
"The use of information technology in the conduct and presentation of humanities teaching and research.","Paul A. Youngman","2012-01-01"
"A group of computer-related strategies and tactics that humanists use to accomplish their goals (from research and reading to writing and teaching, etc.).","Harvey Quamen","2012-01-01"
"The wide and diverse process in which the study of humanities will remain relevant.","Kurt Hochenauer","2012-01-01"
"The Digital Humanities is humanities in the twenty-first century.","Edmond Chang","2012-01-01"
"I have a vague recollection of a few discussions on this matter.","Alejandro Giacometti","2012-01-01"
"Combination of the inquiring spirit of the humanities, the field of critical pedagogy (Freire et al.), and the practices of new media culture.","Pete Rorabaugh","2012-01-01"
"Application of computational technology and approaches to traditional and novel problems in the social sciences and humanities.","Daniel Paul O'Donnell","2012-01-01"
"Digital humanities are a new engaging way to to preserve and communicate the past.","Letizia Ceccarelli","2012-01-01"
"The use of digital tools to digitize, manage, analyze and disseminate information and research related to the humanities, or in my specific case, history.","Léon Robichaud","2012-01-01"
"For me, a Digital Humanist is one who uses digital tools as a way of investigating the issues that make up the studies in the humanities. Many Digital Humanists, myself included, are especially interested in digital texts, and the unique interactions readers have with these texts.","Matt Schneider","2012-01-01"
"A multifaceted disciplinary field where humanities interests and research questions are addressed through computing and/or find an expression in the digital medium.","Raffaele Viglianti","2012-01-01"
"Using digital technologies, not only ICT, to communicate and research within the humanities","NgunnawalJack","2012-01-01"
"What sets Digital Humanities apart, for me, is its genuine interdisciplinarity, its permanent emergence, and its open communication.","Christof Schöch","2012-01-01"
"Innovative ways of seeing the humanities and communicating with others","William Allen","2012-01-01"
"The use of computational techniques in the humanities that would allow research that is otherwise impossible.","Melissa Terras","2012-01-01"
"A range of definitions (or rather, ways of understanding): humanities explored using a range of digital technologies for explanation, expression, reflection and knowledge production/creation.","Nehal El-Hadi","2012-01-01"
"I'm a committed DH Big Tenter, and believe (at least at this point in our history) that we can find room in the field for almost anyone who self-identifies as a DHer. That said, for me personally, DH is either 1) any digital approach to humanistic objects, or, 2) any humanistic approach to digital objects.","Glen Worthey","2012-01-01"
"Digital Humanities is a community of people who use and develop digital tools and methods to ask and answer new and old questions about the source base for humanistic inquiry.","Jean Bauer","2012-01-01"
"I don't.","Paul Caton","2012-01-01"
"Research and teaching relating to digital resources in Humanities.","Cate Mackay","2012-01-01"
"The great opportunity to burn down academic walls","Enrica Salvatori","2012-01-01"
"Disciplines of humanities developed through digital computing.","Dale Kim","2012-01-01"
"Any application of digital technology to enable or enhance humanistic inquiry and any humanistic inquiry into aspects of digital technology.","Hugh Cayless","2012-01-01"
"It is what I do on Mondays, Wednesdays and Fridays.","Camelia Nunez","2012-01-01"
"The digital humanities seek to harmonize the social and technological revolution of the Internet with the traditional preoccupation of the humanities for human and cultural problems as they happen at the scale of the human being","Juan Luis Suarez","2012-01-01"
"I would describe digital humanities as the incorporation of new tools and technologies that allow us to ask various kinds of humanities questions as well as to use humanistic inquiry to reflect on the tools themselves and the changing practices of communication.","Jen Rajchel","2012-01-01"
"Digital humanities is whatever we make it to be. (With apologies to D. Boon http://www.hootpage.com/hoot_dboonsticker.html )","George H. Williams","2012-01-01"
"The conscious use of digital methods and tools to do humanities teaching or research. Also, the study of these methodologies and tools.","Elli Mylonas","2012-01-01"
"Digital Humanity is a way of organizing data and visualize it in a more coherent pattern, it presents textural content in many different ways in various digital forms. The purpose of Digital Humanities to me is to find more potential and profound meanings from these new tools.","Szuting","2012-01-01"
"I define DH thanks to the DH Manifesto : '. Society's digital turn changes and calls into question the conditions of knowledge production and distribution. 2. For us, the digital humanities concern the totality of the social sciences and humanities. The digital humanities are not tabula rasa. On the contrary, they rely on all the paradigms, savoir-faire and knowledge specific to these disciplines, while mobilizing the tools and unique perspectives enabled by digital technology. 3. The digital humanities designate a 'transdiscipline', embodying all the methods, systems and heuristic perspectives linked to the digital within the fields of humanities and the social sciences.' http://tcp.hypotheses.org/411","Marin Dacos","2012-01-01"
"As little as possible.","Andrew Prescott","2012-01-01"
"The best way to describe ‘digital humanities’ is the intersection between human cognition and computing. ‘Human cognition’ can seem like a vague term but it encompasses topics such as art, literature, history, music, theatre, religion, philosophy, etc… Digital humanities could be considered an interdisciplinary topic as any of the aforementioned humanities can be synthesized into a digital form.","Brendan Cecere","2012-01-01"
"DH represent the point (or an area of research) where traditional humanities disciplines connect and merge with digital technologies.","Eleonora Gandolfi","2012-01-01"
"The Digital Humanities is 1) the use of digital technology to facilitate and enhance all stages of humanities scholarship and 2) the humanities-grounded study digital technology.","Jason Boyd","2012-01-01"
"A strange question. The only winning move is not to answer.","Jeremy Boggs","2012-01-01"
"I try not to","Boone Gorges","2012-01-01"
"1. n. a field of study, research and teaching focused on the intersection of computing and disciplines in the humanities. It involves the investigation, analysis, synthesis and presentation of information in electronic form. 2. v. thinking in multimodal ways. not necessarily involving digital or electronic technologies. 3. adj. increasing access changes representation; a description of an intensity of reading as in 'a DH reading'","Craig Saper","2012-01-01"
"Digital Humanities is an academic and social engagement with electronic formats of human cultural processes and forms such as literature, art, history, and music.","Valerie M. Fazel","2012-01-01"
"I don't! I just do it","Nick Mirzoeff","2012-01-01"
"Digital Humanities is a perspective combining the understanding of a Humanities subject and the understanding of the potential of applying a digital approach to its study.","Matteo Romanello","2012-01-01"
"Digital Humanitis is a developing subdiscipline within the traditional humanities disciplines as well as a developing discipline based in a focus on the materiality of the methods, documents, and the information of the humanities. Beyond that, I haveno idea.","Sharon Cogdill","2012-01-01"
"Using digital tools to discover something new to further knowledge of humanity","Melody Dworak","2012-01-01"
"The application of computational methods to research and teaching in the humanities.","John Unsworth","2012-01-01"
"The use of digital technology to study the field of humanities by combining the computational power of modern computer with the cognitive function of the human brain.","Jack Tang","2012-01-01"
"Do we really need a definition? Something like jazz? you know it's jazz when you hear it (Louis Armstrong).","Patrizia Rebulla","2012-01-01"
"a very rewarding activity which still scares people who don't understand that computers can generate meaning","evanhout","2012-01-01"
"At the digital age the aim of digital humanities is how we use digital technology to create new knowledge. Digital humanities become more interdisciplinary based on digital technology among literature, philosophy, history, aesthetics, ethics and so on.","Akira Baba","2012-01-01"
"Digital humanities are tools, methods and understanding of how digital technologies enable and change research and research infrastructures and practices in humanities.","Louise Kennedy","2012-01-01"
"The study of the Humanities through methods and with perspectives arising from the application of digital procedures.","Paolo Monella","2012-01-01"
"Digital Humanities is a field that aims at developing and using the digital resources and tools for solving the research questions in the Humanities.","Takafumi Suzuki","2012-01-01"
"The use of digital tools, technologies, and techniques to explore, analyze, and understand the humanities.","Simon Appleford","2012-01-01"
"The Digital Humanities is a capacious enterprise that includes, among other things, research using computational and algorithmic methods to study culture and history as well as efforts to use digital media to share humanities content beyond the academy and encourage active engagement with that content by a broad public.","Rob Nelson","2012-01-01"
"That which makes us conscious of our methodology of inquiry. Since digital things are not necessarily electric, maybe we can do digital humanities without computers?","Yoichi Iwasaki","2012-01-01"
"Humanists creating, using, researching digital materials to do their work.","Alice Hickcox","2012-01-01"
"It be what it is because it do.","Luke Waltzer","2012-01-01"
"The intersection of technology and liberal arts, using emerging technology to digitize material for humanists to promote cross disciplinary studies of traditional subjects.","Tracy Jentzsch","2012-01-01"
"Digital Humanities is a mode of inquiry and scholarship. It seeks to engage traditional questions using computational tools. It seeks to disseminate information in digital formats. And it engages questions of how reliance on computational tools shapes the questions asked and interpretations offered in the humanities.","Jeri Wieringa","2012-01-01"
"Field in which scholars use digital tools to investigate/explore humanities topics.","Julia Turner","2012-01-01"
"DH is a way of rethinking how work and interact in the digital age.","Dean Rehberger","2012-01-01"
"Though I think 'Digital Humanities' can mean a wide range of things depending on who's defining it, I define it (usually in lowercase) as an area of study that focuses on the intersection of technology and humanistic research. That's the bare bones of it. But really, in practice (or in Praxis, in my case, as in the Praxis Program at UVa - get it?), DH is a wild, carefree romp through the worlds of coding, design, project management, data analysis, and much more, in order to rethink and reappropriate traditional methodologies of humanities scholarship and research.","Brooke Lockwood Lestock","2012-01-01"
"While I endorse all the work done under the rubric of Digital Humanities, I am actually not a fan of the term. I feel that the term is used to define a political move within academia that is focused on the privileging of certain technologies and technological approaches over the greater epistemological questions that define the humanities and its constituent disciplines. As someone who has to work with people who may be wary of digital technology in their teaching, research, and publishing practice, I find that insinuating that 'digital humanities' is in some way essentially different from general humanities alienates the unfamiliar and more deeply entrenches the already conservative. I believe that an approach that considers the incorporation of these technologies as part of a continuum in the ongoing impact of technology on academic work that predates the digital and not as a political paradigmatic shift better reminds us that scholarship is centrally focused on the answering of questions about the unknown with whatever tools are at our disposal. The digital shouldn't really matter in the name and we should think about incorporating this approach to scholarship across all work and not a subset of research. The work is good and important, the term I find more problematic and rarely if ever use to define my work or the work we do at my institution.","Kimon Keramidas","2012-01-01"
"To reconsider the methodology of humanities using digital technology. Thereby, to reconfirm the significance of the humanities.","Makoto Goto","2012-01-01"
"As a rule, I find definitions rather limiting, However, if pressed (as is the case now), I would say that DH is both about the application of digital technologies to research and teaching in the Humanities, and the self-reflexive critical study of those applications.","Mark McDayter","2012-01-01"
"Digital humanities is just one method for conducting humanistic inquiry. Doing research in the humanities often boils down to finding a pattern--in a single text or across several texts--and then providing an interpretation of that pattern. In digital humanities, computation is used to assist in pattern recognition, pulling out patterns that would be difficult for humans to find unassisted. Interpretation of that pattern, however, remains the most important part of the process.","Brian Croxall","2012-01-01"
"Using computers to analyse humanities materials and subjects, or the critical contemplation of using digital technologies for such purposes. Broadly, then, that also means that a good portion of humanities digital publishing activities can fall within its remit in some form","Brad Scott","2012-01-01"
"A democratizing force - 'in order to fight the powers (or towers) that be.'","Will Tchakirides","2012-01-01"
"An interdisciplinary field with porous borders that is generally concerned with the impact of digital technology on traditional academic practices of teaching, research, and service.","Matthew K. Gold","2012-01-01"
"Digital Humanities is the study of various humanities through the use of computational techniques. The idea is to gather new information that traditional study methods would not easily pinpoint. This new approach can also speed up the process of information retrieval, acting as a supplement to traditional studies and enhancing our overall understanding of the humanities.","Ryan E Simmons","2012-01-01"
"The “digital humanities” is an umbrella term that describes how humanities scholars are using digital tools to inform, approach and present their research and teaching.","Adeline Koh","2012-01-01"
"Very broadly--any application of the humanities that involves digital tools and/or approaches.","Eric Johnson","2012-01-01"
"Bringing digital tools, objects and techniques to bear on traditional humanities scholarship.","Elijah Meeks","2012-01-01"
